,District,Link,Price,Rooms,Totsp,Livesp,Kitsp,floor,number of floors,MetrDist,Walk,New,Brick,Balkon,DistCenter
6034,«¿Œ,149124462,7300000.0,1.0,35.3,20.2,10.2,12.0,12.0,10.0,0.0,0.0,0.0,1.0,6.825080715257979
6035,«¿Œ,150977813,7300000.0,1.0,38.5,20.0,9.0,15.0,22.0,15.0,0.0,0.0,0.0,1.0,20.478030049278665
6036,«¿Œ,151121093,7300000.0,2.0,56.0,32.0,9.5,4.0,16.0,0.0,0.0,0.0,0.0,1.0,14.428709864939641
6037,«¿Œ,151069310,7300000.0,2.0,54.2,31.0,9.5,14.0,17.0,0.0,0.0,0.0,0.0,1.0,21.20829537032485
6038,«¿Œ,36006102,7300000.0,2.0,52.0,42.5,9.5,16.0,17.0,0.0,0.0,0.0,0.0,1.0,21.104548951642258
6039,«¿Œ,151098657,7304560.0,2.0,69.7,37.7,10.2,4.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6040,«¿Œ,147704784,7323750.0,1.0,41.9,22.1,8.4,13.0,24.0,20.0,0.0,1.0,0.0,1.0,14.028672305491785
6041,«¿Œ,49075161,7332500.0,1.0,41.9,0.0,0.0,7.0,23.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6042,«¿Œ,150613397,7334534.0,1.0,37.6,12.6,15.8,2.0,16.0,10.0,1.0,1.0,1.0,0.0,6.730716960310263
6043,«¿Œ,151051865,7349100.0,1.0,27.5,18.0,9.0,2.0,19.0,2.0,1.0,1.0,1.0,1.0,6.715164270804205
6044,«¿Œ,148768501,7350000.0,1.0,42.0,22.1,8.4,8.0,23.0,20.0,0.0,1.0,0.0,1.0,14.028672305491785
6045,«¿Œ,150820418,7350000.0,1.0,35.0,15.1,7.0,12.0,19.0,4.0,1.0,0.0,0.0,1.0,9.872350581836796
6046,«¿Œ,147627009,7374500.0,1.0,42.4,22.2,8.8,18.0,24.0,0.0,0.0,0.0,0.0,1.0,14.008846824013501
6047,«¿Œ,150976113,7399000.0,2.0,44.0,29.0,6.0,5.0,9.0,15.0,1.0,0.0,1.0,1.0,11.841013500398414
6048,«¿Œ,151053791,23900000.0,2.0,97.9,0.0,0.0,7.0,7.0,15.0,1.0,0.0,1.0,1.0,16.26187371365831
6049,«¿Œ,149804262,39317982.0,3.0,95.0,50.0,12.0,15.0,22.0,7.0,1.0,0.0,1.0,1.0,11.228266877851192
